stock_code,in_products
300809,IM
300811,IM
300814,IM
300820,IM
300821,IM
300827,IM
300832,IF
300841,IM
300850,IM
300855,IM
300857,IC
300861,IM
300866,IF
300870,IM
300872,IM
300888,IC
300896,IF
300910,IM
300913,IM
300919,IC
300925,IM
300926,IM
300953,IC
300957,IC
300969,IM
300972,IC
300990,IM
300999,IF
301000,IM
301005,IM
301015,IM
301018,IM
301029,IM
301031,IM
301035,IM
301039,IM
301047,IM
301050,IM
301061,IM
301071,IM
301078,IM
301087,IM
301091,IM
301095,IM
301101,IM
301109,IM
301127,IM
301153,IM
301155,IM
301165,IF
301171,IM
301175,IM
301177,IM
301196,IM
301200,IC
301205,IM
301207,IM
301215,IM
301216,IM
301217,IM
301219,IM
301225,IM
301236,IF
301238,IM
301262,IM
301263,IM
301267,IM
301268,IM
301269,IF
301275,IM
301291,IM
301293,IM
301297,IM
301301,IC
301308,IF
301316,IM
301327,IM
301339,IM
301345,IM
301358,IC
301363,IM
301371,IM
301377,IC
301381,IM
301389,IM
301392,IM
301396,IM
301413,IM
301421,IM
301458,IM
301487,IM
301488,IM
301489,IM
301498,IC
301500,IM
301510,IM
301511,IM
301522,IM
301526,IC
301536,IC
301550,IM
301551,IM
301556,IM
301563,IM
301565,IM
301571,IM
301584,IM
301589,IM
301592,IM
301600,IM
301602,IM
301606,IC
301611,IC
301622,IM
301626,IM
301631,IM
301632,IM
301658,IM
301662,IM
301665,IM
301678,IM
302132,IF
600000,IF
600004,IC
600006,IM
600008,IC
600009,IF
600010,IF
600011,IF
600012,IM
600015,IF
600016,IF
600017,IM
600018,IF
600019,IF
600021,IC
600022,IM
600023,IF
600025,IF
600026,IF
600027,IF
600028,IF|IH
600029,IF
600030,IF|IH
600031,IF|IH
600032,IC
600033,IM
600036,IF|IH
600037,IM
600038,IC
600039,IF
600048,IF
600050,IF|IH
600055,IM
600056,IM
600057,IM
600058,IM
600059,IM
600060,IC
600061,IF
600062,IC
600063,IM
600064,IM
600066,IF
600072,IM
600075,IM
600085,IF
600089,IF|IH
600094,IM
600095,IC
600098,IC
600100,IC
600104,IF
600105,IC
600109,IC
600111,IF|IH
600113,IM
600114,IM
600115,IF
600116,IM
600118,IF
600120,IM
600123,IM
600126,IC
600129,IM
600131,IC
600132,IC
600133,IM
600141,IC
600143,IC
600150,IF|IH
600151,IM
600153,IC
600155,IM
600157,IC
600158,IM
600160,IF
600161,IC
600163,IM
600166,IC
600167,IM
600170,IC
600171,IC
600176,IF
600177,IC
600179,IM
600183,IF|IH
600184,IM
600185,IM
600186,IM
600188,IF
600196,IF
600201,IM
600206,IM
600208,IC
600210,IM
600211,IM
600216,IM
600219,IF
600221,IF
600226,IM
600233,IF
600246,IM
600248,IM
600252,IM
600256,IC
600258,IM
600259,IM
600266,IM
600267,IM
600268,IM
600269,IM
600273,IM
600276,IF|IH
600282,IC
600285,IM
600292,IC
600295,IC
600298,IC
600299,IC
600301,IM
600305,IM
600309,IF|IH
600312,IC
600315,IM
600316,IC
600320,IM
600323,IM
600325,IM
600328,IM
600329,IC
600330,IM
600331,IM
600332,IC
600335,IM
600338,IM
600339,IC
600345,IM
600346,IF
600348,IC
600350,IC
600352,IC
600353,IM
600361,IM
600362,IF
600363,IC
600366,IM
600369,IC
600372,IF
600373,IM
600377,IC
600378,IC
600380,IC
600388,IM
600389,IM
600390,IC
600391,IM
600392,IC
600395,IM
600398,IC
600399,IM
600403,IM
600406,IF|IH
600409,IM
600415,IF
600416,IM
600420,IM
600422,IM
600426,IF
600428,IM
600435,IC
600436,IF
600438,IF
600446,IM
600452,IM
600456,IM
600458,IM
600459,IM
600460,IF
600461,IM
600475,IM
600478,IM
600480,IM
600482,IF
600483,IC
600486,IC
600489,IF
600490,IM
600497,IC
600498,IC
600499,IC
600502,IM
600507,IM
600508,IM
600509,IM
600511,IC
600515,IF
600516,IC
600517,IC
600519,IF|IH
600521,IC
600522,IF
600528,IM
600529,IM
600531,IM
600535,IC
600536,IC
600546,IC
600547,IF
600549,IF
600550,IM
600552,IM
600556,IM
600557,IM
600559,IM
600562,IC
600563,IC
600566,IC
600570,IF
600572,IM
600575,IM
600577,IM
600578,IC
600582,IC
600583,IC
600584,IF
600585,IF
600587,IM
600588,IF
600595,IC
600596,IM
600597,IM
600598,IC
600600,IF
600601,IC
600602,IC
600606,IC
600612,IM
600618,IM
600619,IM
600621,IM
600623,IM
600629,IM
600633,IM
600635,IM
600637,IC
600639,IM
600640,IM
600641,IM
600642,IC
600643,IM
600645,IM
600649,IM
600651,IM
600654,IM
600655,IC
600657,IM
600660,IF
600662,IM
600663,IC
600664,IM
600667,IM
600674,IF
600675,IM
600682,IM
600685,IC
600686,IM
600688,IC
600690,IF
600699,IC
600704,IC
600707,IC
600710,IM
600711,IC
600717,IM
600718,IM
600726,IM
600728,IM
600729,IM
600737,IC
600739,IM
600740,IM
600741,IF
600744,IM
600746,IM
600750,IM
600751,IM
600754,IC
600757,IM
600760,IF|IH
600761,IM
600763,IC
600764,IC
600765,IC
600771,IM
600773,IM
600776,IM
600782,IM
600783,IM
600787,IM
600789,IM
600795,IF
600801,IC
600803,IF
600808,IC
600809,IF|IH
600812,IM
600816,IC
600820,IC
600821,IM
600827,IM
600835,IM
600845,IF
600848,IC
600850,IM
600859,IM
600862,IC
600863,IC
600864,IM
600866,IM
600867,IM
600869,IM
600871,IC
600872,IM
600873,IC
600875,IF
600877,IM
600879,IC
600882,IM
600884,IC
600885,IC
600886,IF
600887,IF|IH
600888,IM
600893,IF
600900,IF|IH
600901,IC
600905,IF
600906,IC
600908,IM
600909,IC
600916,IM
600918,IF
600919,IF
600926,IF
600927,IC
600928,IM
600929,IM
600930,IF|IH
600933,IM
600938,IF
600941,IF
600956,IM
600958,IF
600961,IM
600963,IM
600967,IC
600968,IC
600970,IC
600971,IM
600977,IC
600985,IC
600986,IM
600988,IC
600989,IF
600993,IM
600995,IC
600996,IM
600997,IM
600998,IC
600999,IF
601000,IC
601001,IC
601003,IM
601006,IF
601009,IF
601012,IF|IH
601016,IC
601018,IF
601019,IC
601020,IM
601021,IF
601022,IM
601026,IM
601033,IM
601038,IM
601058,IF
601059,IF
601066,IF
601068,IM
601069,IM
601077,IF
601083,IM
601088,IF|IH
601089,IM
601096,IM
601098,IC
601099,IC
601100,IF
601101,IM
601106,IC
601107,IM
601108,IC
601111,IF
601112,IC
601117,IF
601118,IC
601126,IM
601127,IF|IH
601128,IC
601136,IF
601137,IM
601138,IF
601139,IC
601155,IC
601156,IC
601162,IC
601166,IF|IH
601169,IF
601179,IC
601186,IF
601187,IM
601198,IC
601200,IM
601208,IM
601211,IF|IH
601212,IC
601216,IC
601222,IM
601225,IF
601228,IC
601229,IF
601233,IC
601236,IC
601238,IF
601288,IF|IH
601298,IC
601311,IM
601318,IF|IH
601319,IF
601326,IM
601328,IF|IH
601333,IM
601336,IF
601360,IF
601369,IM
601375,IM
601377,IF
601390,IF
601398,IF|IH
601399,IC
601456,IF
601519,IM
601528,IM
601555,IC
601567,IC
601568,IM
601577,IC
601595,IM
601598,IC
601600,IF|IH
601601,IF|IH
601606,IM
601607,IF
601608,IC
601609,IM
601611,IC
601615,IC
601618,IF
601619,IM
601628,IF|IH
601633,IF
601636,IM
601658,IF|IH
601665,IC
601666,IC
601668,IF|IH
601669,IF
601677,IM
601678,IM
601688,IF|IH
601689,IF
601696,IC
601698,IF
601699,IC
601702,IM
601717,IC
601727,IF
601728,IF|IH
601766,IF
601777,IM
601778,IM
601788,IF
601799,IC
601800,IF
601801,IM
601808,IC
601816,IF
601818,IF
601825,IF
601838,IF
601857,IF|IH
601858,IM
601860,IM
601865,IC
601866,IC
601868,IF
601869,IC
601872,IF
601877,IF
601878,IF
601880,IC
601881,IF
601882,IM
601888,IF|IH
601890,IM
601898,IF
601899,IF|IH
601900,IM
601901,IF
601908,IM
601916,IF
601918,IM
601919,IF|IH
601921,IM
601928,IC
601939,IF
601949,IM
601952,IM
601958,IC
601963,IM
601965,IM
601966,IC
601969,IM
601975,IM
601985,IF
601988,IF|IH
601990,IC
601991,IC
601995,IF
601997,IC
601998,IF
603000,IC
603005,IM
603009,IM
603013,IM
603014,IM
603019,IF|IH
603025,IM
603026,IM
603027,IM
603033,IM
603039,IM
603043,IM
603049,IC
603055,IM
603057,IM
603063,IM
603072,IM
603077,IC
603083,IM
603087,IC
603092,IC
603093,IM
603099,IM
603100,IM
603103,IM
603108,IM
603118,IM
603119,IC
603124,IM
603127,IM
603129,IC
603132,IM
603156,IC
603160,IC
603162,IM
603166,IM
603169,IM
603171,IM
603175,IC
603179,IC
603193,IM
603194,IM
603202,IM
603218,IM
603219,IM
603220,IM
603225,IC
603227,IM
603233,IC
603236,IM
603248,IM
603256,IC
603259,IF|IH
603260,IF
603267,IM
603279,IM
603283,IM
603288,IF
603290,IC
603296,IF
603297,IM
603298,IC
603299,IM
603300,IM
603301,IM
603305,IM
603306,IM
603308,IC
603317,IM
603319,IM
603323,IM
603327,IM
603328,IM
603337,IM
603338,IC
603341,IC
603345,IC
603355,IM
603358,IM
603360,IM
603369,IF
603376,IM
603379,IC
603392,IF
603393,IM
603395,IM
603402,IM
603406,IM
603418,IM
603444,IC
603456,IM
603477,IM
603486,IC
603496,IM
603501,IF|IH
603505,IM
603508,IM
603516,IM
603529,IC
603530,IM
603533,IM
603556,IM
603565,IC
603567,IM
603568,IC
603583,IM
603588,IM
603589,IC
603596,IC
603599,IM
603605,IC
603606,IC
603612,IM
603613,IM
603619,IM
603638,IM
603650,IC
603658,IC
603659,IC
603662,IM
603663,IM
603667,IM
603678,IM
603688,IC
603690,IM
603693,IM
603698,IM
603699,IC
603707,IM
603713,IM
603728,IC
603730,IM
603733,IM
603737,IC
603766,IC
603786,IC
603799,IF
603806,IC
603809,IM
603816,IC
603826,IM
603833,IC
603858,IC
603866,IM
603871,IM
603876,IM
603881,IM
603883,IM
603885,IC
603887,IM
603888,IM
603893,IF
603899,IC
603915,IM
603919,IM
603920,IC
603927,IM
603929,IM
603939,IC
603950,IM
603979,IC
603983,IM
603986,IF|IH
603992,IM
603993,IF|IH
603997,IM
605011,IM
605020,IM
605090,IM
605099,IM
605111,IM
605116,IM
605117,IF
605118,IM
605123,IM
605196,IM
605198,IM
605296,IM
605333,IM
605358,IC
605376,IM
605499,IF
605507,IM
605555,IM
605589,IC
605599,IM
688001,IM
688002,IC
688003,IM
688005,IM
688006,IM
688008,IF|IH
688009,IF
688012,IF|IH
688016,IM
688017,IC
688018,IC
688019,IC
688025,IM
688027,IC
688029,IM
688031,IM
688032,IM
688036,IF
688037,IC
688041,IF|IH
688047,IF
688048,IM
688050,IM
688052,IC
688062,IM
688063,IM
688065,IC
688068,IM
688072,IF
688082,IF
688083,IM
688088,IM
688091,IM
688097,IM
688099,IC
688100,IM
688102,IM
688106,IM
688107,IM
688110,IM
688111,IF|IH
688114,IC
688116,IM
688120,IC
688122,IC
688123,IM
688126,IF
688127,IM
688128,IM
688131,IM
688139,IM
688141,IM
688146,IM
688147,IM
688150,IM
688153,IM
688158,IM
688165,IM
688166,IC
688167,IM
688169,IC
688172,IC
688177,IM
688180,IC
688182,IM
688183,IF
688187,IC
688188,IC
688190,IM
688192,IC
688195,IM
688200,IC
688205,IM
688206,IM
688208,IM
688213,IC
688220,IC
688223,IF
688232,IM
688234,IC
688235,IC
688248,IC
688252,IM
688256,IF|IH
688262,IM
688266,IC
688271,IF
688278,IC
688279,IM
688281,IC
688289,IM
688295,IC
688297,IC
688300,IM
688301,IC
688303,IF
688306,IM
688313,IC
688318,IC
688321,IM
688322,IC
688326,IM
688327,IM
688331,IC
688332,IM
688333,IM
688336,IC
688343,IC
688347,IC
688349,IC
688351,IM
688352,IM
688353,IM
688361,IC
688362,IM
688363,IC
688368,IM
688372,IM
688375,IC
688380,IM
688382,IM
688385,IC
688387,IC
688388,IM
688390,IM
688392,IM
688396,IF
688400,IM
688403,IM
688408,IM
688409,IM
688411,IC
688425,IC
688432,IM
688433,IM
688439,IM
688443,IM
688449,IM
688469,IC
688472,IF
688475,IC
688484,IM
688486,IM
688498,IC
688502,IM
688503,IM
688506,IF
688515,IM
688516,IM
688519,IM
688520,IC
688521,IF
688522,IM
688523,IM
688531,IM
688536,IM
688538,IC
688543,IM
688545,IM
688548,IM
688549,IM
688552,IM
688559,IM
688561,IC
688563,IC
688567,IM
688568,IC
688578,IC
688582,IC
688584,IM
688586,IM
688591,IM
688593,IM
688596,IM
688599,IC
688605,IM
688608,IC
688612,IM
688615,IC
688617,IC
688627,IM
688629,IC
688630,IM
688631,IM
688639,IM
688652,IM
688658,IM
688660,IM
688668,IM
688676,IC
688686,IM
688690,IM
688691,IM
688692,IC
688698,IM
688700,IM
688702,IC
688708,IC
688709,IC
688717,IM
688726,IM
688728,IC
688766,IM
688772,IC
688776,IM
688777,IC
688778,IC
688779,IM
688789,IM
688798,IM
688800,IM
688819,IC
688981,IF|IH
689009,IC
