date,open,high,low,close
2016-03-03,7711.297,7875.949,7693.902,7727.16
2016-03-04,7684.924,7735.548,7321.555,7418.801
2016-03-07,7494.038,7670.957,7494.038,7600.437
2016-03-08,7585.863,7670.99,7276.674,7670.69
2016-03-09,7486.949,7634.001,7430.434,7500.17
2016-03-10,7503.42,7568.243,7364.287,7376.697
2016-03-11,7284.948,7401.512,7239.558,7349.567
2016-03-14,7441.093,7715.642,7441.038,7640.131
2016-03-15,7612.971,7668.848,7537.789,7571.82
2016-03-16,7633.747,7659.053,7426.952,7484.226
2016-03-17,7514.679,7795.707,7514.575,7779.875
2016-03-18,7823.568,8118.706,7820.287,8097.204
2016-03-21,8206.527,8326.382,8172.851,8325.977
2016-03-22,8248.53,8387.554,8203.085,8311.211
2016-03-23,8279.881,8408.948,8262.26,8408.639
2016-03-24,8324.852,8453.302,8247.286,8279.649
2016-03-25,8252.424,8353.015,8211.835,8343.242
2016-03-28,8400.214,8482.573,8266.554,8298.778
2016-03-29,8274.094,8292.432,8040.759,8118.996
2016-03-30,8187.45,8439.089,8187.45,8438.684
2016-03-31,8475.431,8541.457,8414.885,8447.179
2016-04-01,8399.177,8426.46,8240.873,8389.287
2016-04-05,8401.343,8642.981,8380.456,8635.667
2016-04-06,8601.658,8699.521,8579.429,8691.23
2016-04-07,8715.006,8733.504,8549.513,8549.513
2016-04-08,8465.831,8511.872,8359.535,8484.174
2016-04-11,8560.093,8719.222,8560.093,8677.409
2016-04-12,8664.277,8688.711,8501.044,8608.374
2016-04-13,8655.195,8831.587,8655.195,8729.841
2016-04-14,8780.548,8837.439,8711.789,8837.018
2016-04-15,8840.53,8866.013,8777.972,8841.095
2016-04-18,8780.456,8780.456,8646.332,8715.85
2016-04-19,8755.251,8784.327,8678.969,8754.504
2016-04-20,8784.645,8798.779,8158.82,8312.201
2016-04-21,8268.023,8382.268,8185.371,8198.511
2016-04-22,8130.899,8282.902,8112.331,8282.424
2016-04-25,8246.029,8261.945,8106.07,8232.478
2016-04-26,8218.47,8343.712,8202.152,8343.422
2016-04-27,8357.26,8426.833,8307.388,8323.458
2016-04-28,8319.22,8336.127,8130.927,8303.557
