date,open,high,low,close
2016-08-03,6154.474,6203.615,6140.829,6198.389
2016-08-04,6194.203,6245.305,6174.24,6238.231
2016-08-05,6231.526,6251.398,6202.862,6203.287
2016-08-08,6191.647,6290.9,6152.579,6290.756
2016-08-09,6283.289,6341.723,6281.072,6341.55
2016-08-10,6336.536,6366.089,6314.513,6318.268
2016-08-11,6304.777,6318.978,6226.313,6226.313
2016-08-12,6218.353,6299.092,6204.961,6299.092
2016-08-15,6309.414,6451.929,6289.725,6442.527
2016-08-16,6449.907,6488.701,6446.236,6468.895
2016-08-17,6462.047,6502.139,6437.263,6488.365
2016-08-18,6485.927,6527.198,6466.398,6490.408
2016-08-19,6485.72,6516.979,6451.612,6499.555
2016-08-22,6499.753,6508.797,6419.563,6420.354
2016-08-23,6414.982,6448.543,6380.915,6428.698
2016-08-24,6432.879,6466.625,6415.7,6435.059
2016-08-25,6398.564,6398.564,6312.653,6382.57
2016-08-26,6395.772,6460.868,6395.73,6410.734
2016-08-29,6409.118,6442.398,6398.777,6427.529
2016-08-30,6428.966,6459.715,6413.71,6425.754
2016-08-31,6422.801,6441.106,6390.699,6434.21
2016-09-01,6434.261,6445.432,6380.901,6381.476
2016-09-02,6371.492,6403.572,6320.479,6356.954
2016-09-05,6372.624,6419.746,6372.624,6391.792
2016-09-06,6392.608,6493.347,6345.695,6492.972
2016-09-07,6490.33,6529.811,6483.088,6494.316
2016-09-08,6489.617,6518.332,6478.648,6517.984
2016-09-09,6518.676,6539.348,6470.905,6471.053
2016-09-12,6362.77,6383.843,6283.816,6291.636
2016-09-13,6324.744,6340.872,6284.037,6320.032
2016-09-14,6286.617,6318.271,6260.653,6278.158
2016-09-19,6292.807,6344.45,6292.807,6344.181
2016-09-20,6344.706,6346.93,6319.762,6342.033
2016-09-21,6342.004,6362.999,6335.392,6343.754
2016-09-22,6381.157,6410.57,6377.173,6385.635
2016-09-23,6397.333,6402.639,6369.223,6370.583
2016-09-26,6363.931,6364.209,6239.867,6241.516
2016-09-27,6229.818,6287.336,6200.565,6286.909
2016-09-28,6300.85,6300.85,6266.753,6281.284
2016-09-29,6288.918,6323.416,6288.918,6298.791
2016-09-30,6292.08,6338.299,6289.466,6328.086
2016-10-10,6364.517,6447.936,6345.331,6447.693
2016-10-11,6451.045,6486.65,6443.748,6486.425
2016-10-12,6463.809,6484.0,6452.414,6482.738
2016-10-13,6480.929,6501.557,6468.132,6484.831
2016-10-14,6476.261,6477.853,6423.579,6469.492
2016-10-17,6478.511,6487.671,6394.487,6413.149
2016-10-18,6409.738,6509.282,6409.738,6509.282
2016-10-19,6518.737,6531.162,6476.562,6495.257
2016-10-20,6495.827,6506.581,6474.779,6498.238
2016-10-21,6498.986,6506.611,6424.443,6475.281
2016-10-24,6479.554,6546.788,6472.939,6539.466
2016-10-25,6543.467,6563.523,6536.944,6563.354
2016-10-26,6561.158,6561.247,6511.657,6530.39
2016-10-27,6522.887,6529.468,6488.363,6517.359
2016-10-28,6512.038,6536.835,6455.148,6455.835
2016-10-31,6441.435,6460.773,6408.273,6452.206
2016-11-01,6456.999,6508.364,6450.02,6507.95
2016-11-02,6494.98,6506.776,6450.051,6455.13
2016-11-03,6442.355,6521.0,6436.907,6483.732
2016-11-04,6482.601,6502.741,6449.561,6462.593
