date,product,role,contract,expire,spot,future,basis_raw,dpv_pts,basis_adj,annualized_rate,announced_ratio
2015-06-04,IH,q2,IH1512,2015-12-18,3299.03,3480.0,180.9699999999998,36.985858805197054,217.95585880519684,12.240775167076388,0.9346541619134531
2015-06-05,IH,current,IH1506,2015-06-19,3303.988,3304.8,0.8120000000003529,2.8571591666710163,3.669159166671369,2.895295658794008,1.0
2015-06-05,IH,next,IH1507,2015-07-17,3303.988,3304.8,0.8120000000003529,31.09960968779869,31.911609687799043,8.393707367931933,1.0
2015-06-05,IH,q1,IH1509,2015-09-18,3303.988,3326.8,22.812000000000353,36.281364708395635,59.09336470839599,6.217328622421647,0.9542347620405985
2015-06-05,IH,q2,IH1512,2015-12-18,3303.988,3393.0,89.01200000000017,37.041443594652186,126.05344359465235,7.104819454681042,0.9346541619134531
2015-06-08,IH,current,IH1506,2015-06-19,3458.707,3535.0,76.29300000000012,2.9909540863584283,79.28395408635855,76.0626947940132,1.0
2015-06-08,IH,next,IH1507,2015-07-17,3458.707,3550.0,91.29300000000012,32.555940797744164,123.84894079774429,33.512496470855204,1.0
2015-06-08,IH,q1,IH1509,2015-09-18,3458.707,3556.0,97.29300000000012,37.98034680709523,135.27334680709535,13.995588180329058,0.9542347620405985
2015-06-08,IH,q2,IH1512,2015-12-18,3458.707,3625.0,166.29300000000012,38.77601863291533,205.06901863291546,11.213000349105293,0.9346541619134531
2015-06-09,IH,current,IH1506,2015-06-19,3413.996,3415.8,1.8040000000000873,2.923440511841463,4.72744051184155,5.0542407982380935,1.0
2015-06-09,IH,next,IH1507,2015-07-17,3413.996,3425.8,11.804000000000087,32.106238121677755,43.91023812167784,12.354126732560236,1.0
2015-06-09,IH,q1,IH1509,2015-09-18,3413.996,3452.8,38.80400000000009,37.46052237249764,76.26452237249774,8.072927224703076,0.9541995171215547
2015-06-09,IH,q2,IH1512,2015-12-18,3413.996,3515.8,101.80400000000009,38.24590848085043,140.04990848085052,7.798506835829633,0.9346048709198719
2015-06-10,IH,current,IH1506,2015-06-19,3370.383,3365.0,-5.382999999999811,2.886094243409121,-2.49690575659069,-3.0045072067002536,1.0
2015-06-10,IH,next,IH1507,2015-07-17,3370.383,3379.4,9.01700000000028,31.696088442767547,40.71308844276783,11.916423614740406,1.0
2015-06-10,IH,q1,IH1509,2015-09-18,3370.383,3390.6,20.2170000000001,36.981972965224834,57.19897296522493,6.194436991970083,0.9541995171215547
2015-06-10,IH,q2,IH1512,2015-12-18,3370.383,3468.4,98.01700000000028,37.75732594982949,135.77432594982977,7.698354342215097,0.9346048709198719
2015-06-11,IH,current,IH1506,2015-06-19,3347.116,3361.0,13.884000000000015,2.703874627136539,16.587874627136554,22.611160768348192,1.0
2015-06-11,IH,next,IH1507,2015-07-17,3347.116,3380.2,33.08399999999983,31.314982784452724,64.39898278445256,19.507364877973544,1.0
2015-06-11,IH,q1,IH1509,2015-09-18,3347.116,3392.6,45.483999999999924,36.564376891671145,82.04837689167107,9.037678753001165,0.9539962255984556
2015-06-11,IH,q2,IH1512,2015-12-18,3347.116,3456.8,109.6840000000002,37.33437732794739,147.01837732794758,8.438011728793397,0.9343205925093023
2015-06-12,IH,current,IH1506,2015-06-19,3350.248,3405.2,54.95199999999977,2.4589089280897927,57.41090892808956,89.35364852628686,1.0
2015-06-12,IH,next,IH1507,2015-07-17,3350.248,3427.0,76.75199999999995,31.096789384528172,107.84878938452812,33.57091187224073,1.0
2015-06-12,IH,q1,IH1509,2015-09-18,3350.248,3442.4,92.15200000000004,36.35109551222746,128.5030955122275,14.285762366822235,0.9536830097048233
2015-06-12,IH,q2,IH1512,2015-12-18,3350.248,3497.8,147.55200000000013,37.12181646173551,184.67381646173564,10.645337333336276,0.9338826996761627
2015-06-15,IH,current,IH1506,2015-06-19,3262.479,3263.8,1.3210000000003674,0.9947654804596554,2.3157654804600227,6.477086905141063,1.0
2015-06-15,IH,next,IH1507,2015-07-17,3262.479,3276.2,13.721000000000004,28.88239755833587,42.60339755833587,14.894961880207308,1.0
