product,view_date,contract,expire,dpv_truth_pts,v0_pts,v1_pts,v2_pts,v0_err,v1_err,v2_err,announced_coverage
IH,2024-08-30,IH202410,2024-10-18,5.52,5.52,5.52,5.52,0.0,0.0,0.0,1.0
IH,2024-08-30,IH202412,2024-12-20,10.48,12.22,12.23,11.46,1.73,1.75,0.97,0.733
IH,2024-08-30,IH202503,2025-03-21,16.06,23.26,23.25,22.06,7.21,7.19,6.0,0.583
IH,2024-09-30,IH202410,2024-10-18,3.78,3.78,3.78,3.78,0.0,0.0,0.0,1.0
IH,2024-09-30,IH202411,2024-11-15,5.13,5.13,5.13,5.13,0.0,0.0,0.0,1.0
IH,2024-09-30,IH202412,2024-12-20,9.64,10.87,10.84,10.06,1.22,1.2,0.42,0.727
IH,2024-09-30,IH202503,2025-03-21,16.22,17.68,17.62,16.74,1.46,1.41,0.53,0.75
IH,2024-10-31,IH202411,2024-11-15,0.08,0.08,0.08,0.08,0.0,0.0,0.0,1.0
IH,2024-10-31,IH202412,2024-12-20,4.39,4.39,4.39,4.39,0.0,0.0,0.0,1.0
IH,2024-10-31,IH202412,2024-12-20,4.39,4.39,4.39,4.39,0.0,0.0,0.0,1.0
IH,2024-10-31,IH202503,2025-03-21,10.68,10.68,10.68,10.68,0.0,0.0,0.0,1.0
IH,2024-11-29,IH202412,2024-12-20,4.3,4.3,4.3,4.3,0.0,0.0,0.0,1.0
IH,2024-11-29,IH202501,2025-01-17,7.7,7.7,7.7,7.7,0.0,0.0,0.0,1.0
IH,2024-11-29,IH202503,2025-03-21,10.56,10.56,10.56,10.56,0.0,0.0,0.0,1.0
IH,2024-11-29,IH202506,2025-06-20,26.45,27.78,27.5,29.19,1.33,1.05,2.74,0.394
IH,2024-12-31,IH202501,2025-01-17,3.24,3.24,3.24,3.24,0.0,0.0,0.0,1.0
IH,2024-12-31,IH202502,2025-02-21,6.17,6.17,6.17,6.17,0.0,0.0,0.0,1.0
IH,2024-12-31,IH202503,2025-03-21,6.17,6.17,6.17,6.17,0.0,0.0,0.0,1.0
IH,2024-12-31,IH202506,2025-06-20,22.42,23.78,23.49,25.22,1.36,1.07,2.8,0.286
IH,2025-01-27,IH202502,2025-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
IH,2025-01-27,IH202503,2025-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
IH,2025-01-27,IH202503,2025-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
IH,2025-01-27,IH202506,2025-06-20,15.64,16.95,16.67,18.33,1.31,1.03,2.69,0.0
IH,2025-02-28,IH202503,2025-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
IH,2025-02-28,IH202504,2025-04-18,1.37,1.32,1.32,2.25,-0.05,-0.05,0.88,0.0
IH,2025-02-28,IH202506,2025-06-20,15.97,17.31,17.02,18.72,1.34,1.05,2.75,0.0
IH,2025-02-28,IH202509,2025-09-19,51.3,47.61,49.16,55.04,-3.7,-2.15,3.74,0.0
IH,2025-03-31,IH202504,2025-04-18,1.38,1.38,1.38,1.38,0.0,0.0,0.0,1.0
IH,2025-03-31,IH202505,2025-05-16,2.43,2.36,2.39,2.55,-0.07,-0.04,0.12,0.8
IH,2025-03-31,IH202506,2025-06-20,16.13,15.79,15.89,16.24,-0.34,-0.24,0.11,0.65
IH,2025-03-31,IH202509,2025-09-19,51.82,48.37,50.1,52.1,-3.45,-1.73,0.28,0.592
IH,2025-04-30,IH202505,2025-05-16,0.19,0.19,0.19,0.19,0.0,0.0,0.0,1.0
IH,2025-04-30,IH202506,2025-06-20,13.73,13.73,13.73,13.73,0.0,0.0,0.0,1.0
IH,2025-04-30,IH202506,2025-06-20,13.73,13.73,13.73,13.73,0.0,0.0,0.0,1.0
IH,2025-04-30,IH202509,2025-09-19,48.98,48.92,48.97,49.02,-0.07,-0.01,0.04,0.935
IH,2025-05-30,IH202506,2025-06-20,10.06,10.06,10.06,10.06,0.0,0.0,0.0,1.0
IH,2025-05-30,IH202507,2025-07-18,41.43,41.43,41.43,41.43,0.0,0.0,0.0,1.0
IH,2025-05-30,IH202509,2025-09-19,45.93,45.86,45.92,45.97,-0.07,-0.01,0.04,0.919
IH,2025-05-30,IH202512,2025-12-19,62.06,72.78,75.26,69.22,10.71,13.2,7.16,0.576
IH,2025-06-30,IH202507,2025-07-18,16.69,16.69,16.69,16.69,0.0,0.0,0.0,1.0
IH,2025-06-30,IH202508,2025-08-15,18.49,18.49,18.49,18.49,0.0,0.0,0.0,1.0
IH,2025-06-30,IH202509,2025-09-19,21.25,21.18,21.24,21.29,-0.07,-0.01,0.04,0.857
IH,2025-06-30,IH202512,2025-12-19,37.58,48.43,50.94,44.83,10.85,13.36,7.25,0.419
IH,2025-07-31,IH202508,2025-08-15,1.01,1.01,1.01,1.01,0.0,0.0,0.0,1.0
IH,2025-07-31,IH202509,2025-09-19,3.83,3.76,3.82,3.88,-0.07,-0.01,0.04,0.571
IH,2025-07-31,IH202509,2025-09-19,3.83,3.76,3.82,3.88,-0.07,-0.01,0.04,0.571
IH,2025-07-31,IH202512,2025-12-19,20.55,30.5,33.07,26.82,9.95,12.52,6.26,0.172
IH,2025-08-29,IH202509,2025-09-19,2.27,2.27,2.27,2.27,0.0,0.0,0.0,1.0
IH,2025-08-29,IH202510,2025-10-17,5.41,5.41,5.41,5.41,0.0,0.0,0.0,1.0
IH,2025-08-29,IH202512,2025-12-19,20.19,25.31,27.68,25.9,5.12,7.48,5.7,0.52
IH,2025-08-29,IH202603,2026-03-20,30.61,40.56,44.18,40.79,9.95,13.56,10.18,0.441
IH,2025-09-30,IH202510,2025-10-17,0.97,0.97,0.97,0.97,0.0,0.0,0.0,1.0
IH,2025-09-30,IH202511,2025-11-21,7.11,7.11,7.11,7.11,0.0,0.0,0.0,1.0
IH,2025-09-30,IH202512,2025-12-19,15.81,18.0,17.8,17.95,2.18,1.99,2.13,0.778
IH,2025-09-30,IH202603,2026-03-20,26.28,30.56,30.49,29.71,4.28,4.21,3.43,0.704
