date,product,role,contract,expire,spot,future,basis_raw,dpv_pts,basis_adj,annualized_rate,announced_ratio
2015-06-30,IC,current,IC1507,2015-07-17,8906.02,8346.0,-560.0200000000004,3.869868745197641,-556.1501312548028,-134.0763940028952,1.0
2015-06-30,IC,next,IC1508,2015-08-21,8906.02,8205.8,-700.2200000000012,7.323159928381505,-692.8968400716196,-54.610284052062354,1.0
2015-06-30,IC,q1,IC1509,2015-09-18,8906.02,8099.6,-806.4200000000001,7.446538946442409,-798.9734610535577,-40.93092555436499,0.997543746660445
2015-06-30,IC,q2,IC1512,2015-12-18,8906.02,7876.2,-1029.8200000000006,8.193785475987738,-1021.6262145240129,-24.485282338380767,0.9065710082422715
2015-07-01,IC,current,IC1507,2015-07-17,8411.91,7509.4,-902.5100000000002,3.619033707559348,-898.8909662924409,-243.77281935430014,1.0
2015-07-01,IC,next,IC1508,2015-08-21,8411.91,7380.0,-1031.9099999999999,6.88073474087571,-1025.0292652591243,-87.20960829547917,1.0
2015-07-01,IC,q1,IC1509,2015-09-18,8411.91,7282.4,-1129.5100000000002,6.997268635456757,-1122.5127313645435,-61.654166525111556,0.9975310628905117
2015-07-01,IC,q2,IC1512,2015-12-18,8411.91,7086.8,-1325.1099999999997,7.703057591056187,-1317.4069424089435,-33.62554045250158,0.9061327579014729
2015-07-02,IC,current,IC1507,2015-07-17,7835.104,7667.8,-167.3040000000001,3.342547412473284,-163.9614525875268,-50.921196191267136,1.0
2015-07-02,IC,next,IC1508,2015-08-21,7835.104,7510.0,-325.10400000000027,6.38059308972627,-318.723406910274,-29.695596515949248,1.0
2015-07-02,IC,q1,IC1509,2015-09-18,7835.104,7419.0,-416.10400000000027,6.4891362367128105,-409.6148637632875,-24.464097777230414,0.9975202846478718
2015-07-02,IC,q2,IC1512,2015-12-18,7835.104,7249.8,-585.3040000000001,7.146529131926017,-578.157470868074,-15.937035361242183,0.905760671575136
2015-07-03,IC,current,IC1507,2015-07-17,7355.491,7404.8,49.3090000000002,3.010301186044235,52.319301186044434,18.544498576356297,1.0
2015-07-03,IC,next,IC1508,2015-08-21,7355.491,7275.8,-79.6909999999998,5.862377895762859,-73.82862210423694,-7.476698691465837,1.0
2015-07-03,IC,q1,IC1509,2015-09-18,7355.491,7226.8,-128.6909999999998,5.964276752596308,-122.7267232474035,-7.909146313463859,0.9974672178397642
2015-07-03,IC,q2,IC1512,2015-12-18,7355.491,7062.0,-293.491,6.581428423359668,-286.9095715766403,-8.47455594944823,0.9039330303620787
2015-07-06,IC,current,IC1507,2015-07-17,7235.999,7440.0,204.0010000000002,2.8792466843216595,206.88024668432186,94.86821005487786,1.0
2015-07-06,IC,next,IC1508,2015-08-21,7235.999,7323.8,87.80100000000039,5.684990613509699,93.48599061351008,10.25139738793171,1.0
2015-07-06,IC,q1,IC1509,2015-09-18,7235.999,7217.8,-18.198999999999614,5.785234095032274,-12.413765904967342,-0.8461867056405737,0.9974312518968835
2015-07-06,IC,q2,IC1512,2015-12-18,7235.999,6996.2,-239.79899999999998,6.392359965010498,-233.4066400349895,-7.135487159013435,0.9026984271082266
2015-07-07,IC,current,IC1507,2015-07-17,6763.526,6516.2,-247.32600000000002,2.6237041549949756,-244.70229584500504,-132.05588029590905,1.0
2015-07-07,IC,next,IC1508,2015-08-21,6763.526,6430.4,-333.1260000000002,5.2462476371603906,-327.87975236283984,-39.32074930293149,1.0
2015-07-07,IC,q1,IC1509,2015-09-18,6763.526,6334.2,-429.326,5.3399457420949625,-423.98605425790504,-31.343566525648388,0.9973987608786993
2015-07-07,IC,q2,IC1512,2015-12-18,6763.526,6192.0,-571.5259999999998,5.907429458838199,-565.6185705411616,-18.612277217923992,0.9015859272524375
2015-07-08,IC,current,IC1507,2015-07-17,6602.374,5956.6,-645.7739999999994,2.45253783880742,-643.321462161192,-395.1648194840137,1.0
2015-07-08,IC,next,IC1508,2015-08-21,6602.374,5870.6,-731.7739999999994,5.012594959977414,-726.761405040022,-91.31285505638097,1.0
2015-07-08,IC,q1,IC1509,2015-09-18,6602.374,5786.0,-816.3739999999998,5.1040605552703555,-811.2699394447294,-62.29104693952303,0.9973433871990505
2015-07-08,IC,q2,IC1512,2015-12-18,6602.374,5605.2,-997.174,5.6580230501064674,-991.5159769498935,-33.628295488187774,0.8996960594861159
2015-07-09,IC,current,IC1507,2015-07-17,6896.352,6552.2,-344.15200000000004,2.0451030190906376,-342.1068969809094,-226.33164859847628,1.0
2015-07-09,IC,next,IC1508,2015-08-21,6896.352,6457.6,-438.7519999999995,4.719149513229704,-434.0328504867698,-53.42291599279202,1.0
2015-07-09,IC,q1,IC1509,2015-09-18,6896.352,6364.6,-531.7519999999995,4.814687715250625,-526.9373122847488,-39.280232277597655,0.9970583211763905
2015-07-09,IC,q2,IC1512,2015-12-18,6896.352,6165.6,-730.7519999999995,5.393316002467921,-725.3586839975316,-23.697975398657274,0.8900877397429917
2015-07-10,IC,current,IC1507,2015-07-17,7244.784,7207.4,-37.384000000000015,1.0233759331045835,-36.36062406689543,-26.169818539038044,1.0
2015-07-10,IC,next,IC1508,2015-08-21,7244.784,7103.2,-141.58399999999983,3.8325262282163766,-137.75147377178345,-16.52396956233187,1.0
2015-07-10,IC,q1,IC1509,2015-09-18,7244.784,7001.0,-243.78399999999965,3.9328914122136447,-239.851108587786,-17.26279498553558,0.9962168161813739
2015-07-10,IC,q2,IC1512,2015-12-18,7244.784,6782.0,-462.78399999999965,4.540754374716033,-458.24324562528363,-14.33961921901231,0.8628549879022176
2015-07-13,IC,current,IC1507,2015-07-17,7695.635,7569.6,-126.03499999999985,1.005281714094507,-125.02971828590535,-148.2523767510915,1.0
2015-07-13,IC,next,IC1508,2015-08-21,7695.635,7400.0,-295.6350000000002,3.989248569603608,-291.6457514303966,-35.46822464346205,1.0
2015-07-13,IC,q1,IC1509,2015-09-18,7695.635,7131.2,-564.4350000000004,4.095859591098634,-560.3391404089018,-39.66656194863269,0.9961412791808756
2015-07-13,IC,q2,IC1512,2015-12-18,7695.635,6970.4,-725.2350000000006,4.7415505446780735,-720.4934494553225,-21.62824861033895,0.8604895748716026
2015-07-14,IC,current,IC1507,2015-07-17,7859.057,7645.0,-214.0569999999998,0.6378198142219479,-213.41918018577783,-330.3958764510336,1.0
2015-07-14,IC,next,IC1508,2015-08-21,7859.057,7510.2,-348.85699999999997,3.6851532186202585,-345.1718467813797,-42.18656796905371,1.0
2015-07-14,IC,q1,IC1509,2015-09-18,7859.057,7336.2,-522.857,3.794028197066824,-519.0629718029331,-36.52569927765962,0.9957458397846071
2015-07-14,IC,q2,IC1512,2015-12-18,7859.057,7076.8,-782.2569999999996,4.453430833569877,-777.8035691664297,-23.008733035533727,0.8483095245977857
2015-07-15,IC,current,IC1507,2015-07-17,7405.295,7136.0,-269.2950000000001,0.384157403882586,-268.9108425961175,-662.7180790743846,1.0
2015-07-15,IC,next,IC1508,2015-08-21,7405.295,6836.4,-568.8950000000004,3.2555455135404987,-565.63945448646,-75.35090473431251,1.0
2015-07-15,IC,q1,IC1509,2015-09-18,7405.295,6665.8,-739.4949999999999,3.3581343271240445,-736.1368656728758,-55.82075569328323,0.9954711466579859
2015-07-15,IC,q2,IC1512,2015-12-18,7405.295,6421.0,-984.2950000000001,3.979464729369871,-980.3155352706302,-30.973607257719145,0.8400440904983352
2015-07-16,IC,current,IC1507,2015-07-17,7578.759,7531.8,-46.95899999999983,0.19729528793693607,-46.761704712062894,-225.20866833083036,1.0
2015-07-16,IC,next,IC1508,2015-08-21,7578.759,7226.6,-352.15899999999965,3.1359437116071467,-349.0230562883925,-46.69242005674576,1.0
2015-07-16,IC,q1,IC1509,2015-09-18,7578.759,6985.4,-593.3590000000004,3.2409355983916193,-590.1180644016088,-44.40723192333237,0.995197452674052
2015-07-16,IC,q2,IC1512,2015-12-18,7578.759,6643.0,-935.759,3.876820242824309,-931.8821797571757,-28.95503379578066,0.8319629618551191
2015-07-17,IC,current,IC1507,2015-07-17,7994.697,7934.4,-60.29700000000048,0.0,-60.29700000000048,,
2015-07-17,IC,next,IC1508,2015-08-21,7994.697,7857.6,-137.09699999999975,3.099927539161881,-133.99707246083787,-17.47906195040674,1.0
2015-07-17,IC,q1,IC1509,2015-09-18,7994.697,7599.0,-395.6970000000001,3.21068159827633,-392.4863184017238,-28.442962505085873,0.9948861412637487
2015-07-17,IC,q2,IC1512,2015-12-18,7994.697,7249.4,-745.2970000000005,3.8814649097910636,-741.4155350902095,-21.980208954706182,0.8229528542376049
2015-07-20,IC,current,IC1508,2015-08-21,8116.496,7589.0,-527.4960000000001,3.1471548542611747,-524.3488451457389,-73.68763583378326,1.0
2015-07-20,IC,next,IC1509,2015-09-18,8116.496,7315.0,-801.4960000000001,3.259596248573703,-798.2364037514263,-59.82801103852176,0.9948861412637487
2015-07-20,IC,q1,IC1509,2015-09-18,8116.496,7315.0,-801.4960000000001,3.259596248573703,-798.2364037514263,-59.82801103852176,0.9948861412637487
