product,view_date,contract,expire,dpv_truth_pts,announced_coverage,固定股息率_pts,固定股息率_err,固定分红_pts,固定分红_err,固定派息率_pts,固定派息率_err,派息率x季报EPS_pts,派息率x季报EPS_err
IH,2024-08-30,IH202409,2024-09-20,2.94,0.857,2.94,0.0,2.94,0.0,2.94,0.0,2.94,0.0
IH,2024-08-30,IH202410,2024-10-18,6.52,0.786,6.52,0.0,6.52,0.0,6.52,0.0,6.52,0.0
IH,2024-08-30,IH202412,2024-12-20,12.91,0.778,12.9,-0.01,13.48,0.57,14.38,1.47,14.38,1.47
IH,2024-08-30,IH202503,2025-03-21,20.01,0.603,29.74,9.74,28.13,8.12,28.62,8.61,28.62,8.61
IH,2024-09-30,IH202410,2024-10-18,4.73,1.0,4.73,0.0,4.73,0.0,4.73,0.0,4.73,0.0
IH,2024-09-30,IH202411,2024-11-15,6.0,1.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0
IH,2024-09-30,IH202412,2024-12-20,12.72,0.889,12.71,-0.01,13.43,0.71,14.57,1.84,14.57,1.84
IH,2024-09-30,IH202503,2025-03-21,20.29,0.857,22.23,1.94,22.67,2.38,22.9,2.6,22.9,2.6
IH,2024-10-31,IH202411,2024-11-15,0.11,1.0,0.11,0.0,0.11,0.0,0.11,0.0,0.11,0.0
IH,2024-10-31,IH202412,2024-12-20,6.1,1.0,6.1,0.0,6.1,0.0,6.1,0.0,6.1,0.0
IH,2024-10-31,IH202412,2024-12-20,6.1,1.0,6.1,0.0,6.1,0.0,6.1,0.0,6.1,0.0
IH,2024-10-31,IH202503,2025-03-21,13.37,1.0,13.37,0.0,13.37,0.0,13.37,0.0,13.37,0.0
IH,2024-11-29,IH202412,2024-12-20,5.98,1.0,5.98,0.0,5.98,0.0,5.98,0.0,5.98,0.0
IH,2024-11-29,IH202501,2025-01-17,9.4,1.0,9.4,0.0,9.4,0.0,9.4,0.0,9.4,0.0
IH,2024-11-29,IH202503,2025-03-21,13.22,1.0,13.22,0.0,13.22,0.0,13.22,0.0,13.22,0.0
IH,2024-11-29,IH202506,2025-06-20,28.51,0.462,31.57,3.06,32.24,3.73,29.25,0.74,29.25,0.74
IH,2024-12-31,IH202501,2025-01-17,3.77,1.0,3.77,0.0,3.77,0.0,3.77,0.0,3.77,0.0
IH,2024-12-31,IH202502,2025-02-21,7.55,1.0,7.55,0.0,7.55,0.0,7.55,0.0,7.55,0.0
IH,2024-12-31,IH202503,2025-03-21,7.55,1.0,7.55,0.0,7.55,0.0,7.55,0.0,7.55,0.0
IH,2024-12-31,IH202506,2025-06-20,23.2,0.327,26.32,3.12,26.87,3.67,24.21,1.01,24.21,1.01
IH,2025-01-27,IH202506,2025-06-20,15.06,0.0,18.06,3.0,18.59,3.53,16.03,0.97,16.03,0.97
IH,2025-02-28,IH202504,2025-04-18,1.49,0.0,2.66,1.17,2.44,0.95,1.43,-0.05,1.43,-0.05
IH,2025-02-28,IH202506,2025-06-20,15.68,0.0,18.84,3.15,19.44,3.75,16.84,1.16,16.84,1.16
IH,2025-02-28,IH202509,2025-09-19,60.42,0.0,65.52,5.1,62.83,2.41,57.78,-2.64,57.78,-2.64
IH,2025-03-31,IH202504,2025-04-18,1.54,1.0,1.54,0.0,1.54,0.0,1.54,0.0,1.54,0.0
IH,2025-03-31,IH202505,2025-05-16,3.1,0.875,3.0,-0.1,2.89,-0.21,3.14,0.04,3.14,0.04
IH,2025-03-31,IH202506,2025-06-20,16.27,0.629,15.58,-0.69,15.98,-0.29,15.76,-0.51,15.76,-0.51
IH,2025-03-31,IH202509,2025-09-19,62.01,0.509,58.79,-3.22,59.3,-2.7,58.3,-3.71,58.3,-3.71
IH,2025-04-30,IH202505,2025-05-16,0.33,1.0,0.33,0.0,0.33,0.0,0.33,0.0,0.33,0.0
IH,2025-04-30,IH202506,2025-06-20,13.26,1.0,13.26,0.0,13.26,0.0,13.26,0.0,13.26,0.0
IH,2025-04-30,IH202506,2025-06-20,13.26,1.0,13.26,0.0,13.26,0.0,13.26,0.0,13.26,0.0
IH,2025-04-30,IH202509,2025-09-19,58.26,0.938,57.98,-0.28,57.78,-0.48,58.35,0.09,58.35,0.09
IH,2025-05-30,IH202506,2025-06-20,11.59,1.0,11.59,0.0,11.59,0.0,11.59,0.0,11.59,0.0
IH,2025-05-30,IH202507,2025-07-18,51.55,1.0,51.55,0.0,51.55,0.0,51.55,0.0,51.55,0.0
IH,2025-05-30,IH202509,2025-09-19,57.37,0.929,57.09,-0.28,56.89,-0.48,57.46,0.09,57.46,0.09
IH,2025-05-30,IH202512,2025-12-19,76.62,0.613,88.47,11.86,86.38,9.76,93.24,16.62,93.24,16.62
