product,view_date,contract,expire,dpv_forecast_pts,dpv_truth_pts,err_pts,err_pct,announced_coverage
IH,2025-05-30,IH202512,2025-12-19,72.78,62.06,10.71,17.3,0.576
IH,2025-06-30,IH202507,2025-07-18,16.69,16.69,0.0,0.0,1.0
IH,2025-06-30,IH202508,2025-08-15,18.49,18.49,0.0,0.0,1.0
IH,2025-06-30,IH202509,2025-09-19,21.18,21.25,-0.07,-0.3,0.857
IH,2025-06-30,IH202512,2025-12-19,48.43,37.58,10.85,28.9,0.419
IH,2025-07-31,IH202508,2025-08-15,1.01,1.01,0.0,,1.0
IH,2025-07-31,IH202509,2025-09-19,3.76,3.83,-0.07,,0.571
IH,2025-07-31,IH202509,2025-09-19,3.76,3.83,-0.07,,0.571
IH,2025-07-31,IH202512,2025-12-19,30.5,20.55,9.95,48.4,0.172
IH,2025-08-29,IH202509,2025-09-19,2.27,2.27,0.0,,1.0
IH,2025-08-29,IH202510,2025-10-17,5.41,5.41,0.0,0.0,1.0
IH,2025-08-29,IH202512,2025-12-19,25.31,20.19,5.12,25.3,0.52
IH,2025-08-29,IH202603,2026-03-20,40.56,30.61,9.95,32.5,0.441
IH,2025-09-30,IH202510,2025-10-17,0.97,0.97,0.0,,1.0
IH,2025-09-30,IH202511,2025-11-21,7.11,7.11,0.0,0.0,1.0
IH,2025-09-30,IH202512,2025-12-19,18.0,15.81,2.18,13.8,0.778
IH,2025-09-30,IH202603,2026-03-20,30.56,26.28,4.28,16.3,0.704
IH,2025-10-31,IH202511,2025-11-21,0.9,0.9,0.0,,1.0
IH,2025-10-31,IH202512,2025-12-19,9.66,9.66,0.0,0.0,1.0
IH,2025-10-31,IH202512,2025-12-19,9.66,9.66,0.0,0.0,1.0
IH,2025-10-31,IH202603,2026-03-20,20.21,20.21,0.0,0.0,1.0
IH,2025-11-28,IH202512,2025-12-19,8.56,8.56,0.0,0.0,1.0
IH,2025-11-28,IH202601,2026-01-16,14.14,14.14,0.0,0.0,1.0
IH,2025-11-28,IH202603,2026-03-20,18.96,18.96,0.0,0.0,1.0
IH,2025-11-28,IH202606,2026-06-19,34.05,39.26,-5.21,-13.3,0.432
IH,2025-12-31,IH202601,2026-01-16,4.39,4.39,0.0,,1.0
IH,2025-12-31,IH202602,2026-02-20,9.31,9.31,0.0,0.0,1.0
IH,2025-12-31,IH202603,2026-03-20,9.31,9.31,0.0,0.0,1.0
IH,2025-12-31,IH202606,2026-06-19,24.71,30.03,-5.32,-17.7,0.276
IC,2024-06-28,IC202407,2024-07-19,13.52,13.52,0.0,0.0,1.0
IC,2024-06-28,IC202408,2024-08-16,18.89,18.89,0.0,0.0,1.0
IC,2024-06-28,IC202409,2024-09-20,21.23,20.87,0.36,1.7,0.929
IC,2024-06-28,IC202412,2024-12-20,35.24,28.7,6.54,22.8,0.553
IC,2024-07-31,IC202408,2024-08-16,1.94,1.94,0.0,,1.0
IC,2024-07-31,IC202409,2024-09-20,4.25,3.9,0.36,,0.722
IC,2024-07-31,IC202409,2024-09-20,4.25,3.9,0.36,,0.722
IC,2024-07-31,IC202412,2024-12-20,17.92,11.64,6.28,54.0,0.211
IC,2024-08-30,IC202409,2024-09-20,1.41,1.41,0.0,,1.0
IC,2024-08-30,IC202410,2024-10-18,5.3,5.21,0.09,1.7,0.964
IC,2024-08-30,IC202412,2024-12-20,10.72,8.76,1.95,22.3,0.741
IC,2024-08-30,IC202503,2025-03-21,13.67,10.44,3.23,30.9,0.624
